Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
06UncorrelatedWithSimilarWeights	10000	1000	495297133	495295943	495295943	180.01483011245728	
06UncorrelatedWithSimilarWeights	10000	1000	495297874	495297638	495297638	180.0135576725006	
06UncorrelatedWithSimilarWeights	10000	1000	495297791	495297638	495297638	180.01864218711853	
06UncorrelatedWithSimilarWeights	10000	1000	495297398	495295943	495295943	180.01673674583435	
06UncorrelatedWithSimilarWeights	10000	1000	495296949	495295943	495295943	180.01523351669312	
06UncorrelatedWithSimilarWeights	10000	10000	495297133	495295943	495295943	180.01841378211975	
06UncorrelatedWithSimilarWeights	10000	10000	495297874	495297638	495297638	180.01604747772217	
06UncorrelatedWithSimilarWeights	10000	10000	495297791	495297638	495297638	180.019061088562	
06UncorrelatedWithSimilarWeights	10000	10000	495297398	495295943	495295943	180.01745891571045	
06UncorrelatedWithSimilarWeights	10000	10000	495296949	495295943	495295943	180.01805329322815	
