Type	N	R	Capacities	Total Weight	Computed Value	Time Consuming
12Circle	50	1000	14239	14239	300031	1.1743700504302979	
12Circle	50	1000	11793	11793	248492	5.970654487609863	
12Circle	50	1000	13570	13570	285936	0.37200117111206055	
12Circle	50	1000	13214	13214	278435	21.3319034576416	
12Circle	50	1000	12263	12263	258396	183.94094896316528	
12Circle	50	10000	142283	142283	9485054	9.738053798675537	
12Circle	50	10000	117821	117821	7854338	9.494548082351685	
12Circle	50	10000	135607	135607	9040012	180.05675435066223	
